fy,unemp,infl,cgpi,spread,loan,call,ca
1995,3.216666666666667,0.0,-0.9666666666666667,1.5930833333333334,2.3676666666666666,0.7745833333333333,
1996,3.3833333333333333,0.23041474654377225,-1.4916666666666665,1.51825,1.9982499999999999,0.48,1.341727358612492
1997,3.5583333333333336,2.183908045977012,1.0,1.4422499999999998,1.9105833333333333,0.4683333333333333,2.383511989898974
1998,4.3500000000000005,-0.22497187851518996,-2.1666666666666665,1.5583333333333333,1.8591666666666666,0.30083333333333334,2.6526152647707293
1999,4.733333333333333,-0.11273957158963732,-0.875,1.7375833333333333,1.7642499999999999,0.02666666666666667,2.5341689043598508
2000,4.75,-0.4514672686230181,-0.3833333333333333,1.6419166666666667,1.79525,0.15333333333333335,2.487961314989892
2001,5.183333333333334,-0.7936507936508019,-2.4583333333333335,1.6108333333333336,1.6188333333333331,0.008,2.1292169741913827
2002,5.333333333333333,-0.8000000000000007,-1.625,1.60325,1.6051666666666666,0.0019166666666666666,2.4776113270202296
2003,5.1000000000000005,-0.23041474654378336,-0.525,1.5818333333333332,1.5829166666666667,0.0010833333333333335,3.3490098159110504
2004,4.633333333333334,-0.2309468822170757,1.5416666666666667,1.5128333333333333,1.51375,0.0009166666666666666,3.5978460286058898
2005,4.308333333333334,0.0,1.9083333333333332,1.3706666666666667,1.3717499999999998,0.0010833333333333335,3.602485486360036
2006,4.058333333333333,0.11574074074074403,1.9916666666666665,1.3076666666666668,1.52625,0.21858333333333335,4.03203149798357
2007,3.841666666666667,0.3468208092485492,2.3000000000000003,1.1756666666666666,1.6803333333333335,0.5046666666666667,4.475337246421583
2008,4.208333333333333,1.1520737327188835,3.2416666666666667,1.1804166666666667,1.5430833333333334,0.3626666666666667,2.045756736680666
2009,5.175,-1.5945330296127436,-5.158333333333333,1.2133333333333332,1.3155,0.10216666666666667,3.3453863693540073
2010,4.958333333333333,-0.9259259259259411,0.5083333333333333,1.0618333333333334,1.15275,0.09091666666666666,3.5878709939954367
2011,4.5,0.0,1.3416666666666668,1.0401666666666667,1.11675,0.07658333333333334,1.6233882786098581
2012,4.208333333333333,-0.1168224299065379,-1.0583333333333333,0.9871666666666666,1.06975,0.08258333333333333,0.8422551865735466
2013,3.8666666666666667,0.7017543859649145,1.8499999999999999,0.9189166666666666,0.9919166666666667,0.073,0.46092278556159233
2014,3.5083333333333333,2.9036004645760727,2.8083333333333336,0.8461666666666666,0.9139166666666667,0.06775,1.6305692912791308
2015,3.2916666666666665,-0.11286681715575453,-3.3249999999999997,0.7816666666666667,0.8448333333333333,0.06316666666666666,3.3147692822236423
2016,2.975,-0.2259887005649719,-2.341666666666667,0.7716666666666666,0.7263333333333333,-0.04533333333333334,3.896843511993115
2017,2.716666666666667,0.679501698754259,2.658333333333333,0.7439166666666667,0.6943333333333334,-0.04958333333333333,3.9458796434043064
2018,2.4250000000000003,0.8998875140607376,2.191666666666667,0.7486666666666667,0.6866666666666666,-0.062,3.4009808676074367
2019,2.4,0.557413600891854,0.11666666666666665,0.70925,0.6629999999999999,-0.04624999999999999,3.2720963150712326
2020,2.891666666666667,-0.44345898004435336,-1.45,0.6690833333333334,0.63775,-0.03133333333333333,3.054845354576044
2021,2.75,0.11135857461026522,7.116666666666667,0.6285833333333334,0.6044999999999999,-0.02408333333333333,3.490046032114945
2022,2.566666666666667,3.0033370411568283,9.583333333333334,0.6671666666666667,0.635,-0.03216666666666667,1.5396568891169509
2023,2.558333333333333,2.807775377969768,2.4833333333333334,0.7194166666666666,0.6910833333333333,-0.028333333333333335,4.264459053616803
2024,2.533333333333333,2.73109243697478,3.3666666666666667,0.68525,0.9095833333333333,0.22433333333333336,4.672118599610568
